Date,SKU,DCID,OnHandUnits,SafetyStockUnits
2024-04-01,V-CIT-12,DC-WEST,34663,21993
2024-04-01,V-BER-12,DC-EAST,98787,38142
2024-04-01,V-BER-12,DC-CEN,76834,29666
2024-04-01,V-BER-12,DC-WEST,43905,16952
2024-04-01,V-TRO-12,DC-EAST,72529,28450
2024-04-01,V-TRO-12,DC-CEN,56411,22128
2024-04-01,V-TRO-12,DC-WEST,32235,12644
2024-04-01,V-CIT-24,DC-EAST,81117,31186
2024-04-01,V-CIT-24,DC-CEN,63091,24256
2024-04-01,V-CIT-24,DC-WEST,36052,13861
2024-04-01,V-BER-24,DC-EAST,62951,25941
2024-04-01,V-BER-24,DC-CEN,48962,20177
2024-04-01,V-BER-24,DC-WEST,27978,11530
2024-04-01,V-GIN-12,DC-EAST,53343,21011
2024-04-01,V-GIN-12,DC-CEN,41489,16342
2024-04-01,V-GIN-12,DC-WEST,23708,9338
2024-04-01,V-MEL-24,DC-EAST,82908,32036
2024-04-01,V-MEL-24,DC-CEN,64484,24917
2024-04-01,V-MEL-24,DC-WEST,36848,14238
2024-04-01,V-COC-24,DC-EAST,55617,22945
2024-04-01,V-COC-24,DC-CEN,43257,17846
2024-04-01,V-COC-24,DC-WEST,24719,10198
2024-05-01,V-CIT-12,DC-EAST,70639,51962
2024-05-01,V-CIT-12,DC-CEN,54942,40415
2024-05-01,V-CIT-12,DC-WEST,31395,23094
2024-05-01,V-BER-12,DC-EAST,102798,40201
2024-05-01,V-BER-12,DC-CEN,79954,31267
2024-05-01,V-BER-12,DC-WEST,45688,17867
2024-05-01,V-TRO-12,DC-EAST,75485,29884
2024-05-01,V-TRO-12,DC-CEN,58711,23243
2024-05-01,V-TRO-12,DC-WEST,33549,13282
2024-05-01,V-CIT-24,DC-EAST,85710,32668
2024-05-01,V-CIT-24,DC-CEN,66664,25408
2024-05-01,V-CIT-24,DC-WEST,38094,14519
2024-05-01,V-BER-24,DC-EAST,67485,26592
2024-05-01,V-BER-24,DC-CEN,52489,20683
2024-05-01,V-BER-24,DC-WEST,29993,11819
2024-05-01,V-GIN-12,DC-EAST,54056,21673
2024-05-01,V-GIN-12,DC-CEN,42044,16856
2024-05-01,V-GIN-12,DC-WEST,24025,9632
2024-05-01,V-MEL-24,DC-EAST,85898,32806
2024-05-01,V-MEL-24,DC-CEN,66809,25516
2024-05-01,V-MEL-24,DC-WEST,38177,14580
2024-05-01,V-COC-24,DC-EAST,58468,23810
2024-05-01,V-COC-24,DC-CEN,45475,18519
2024-05-01,V-COC-24,DC-WEST,25986,10582
2024-06-01,V-CIT-12,DC-EAST,62674,55113
2024-06-01,V-CIT-12,DC-CEN,48746,42866
2024-06-01,V-CIT-12,DC-WEST,27855,24495
2024-06-01,V-BER-12,DC-EAST,104277,41968
2024-06-01,V-BER-12,DC-CEN,81105,32642
2024-06-01,V-BER-12,DC-WEST,46346,18653
2024-06-01,V-TRO-12,DC-EAST,80601,31198
2024-06-01,V-TRO-12,DC-CEN,62690,24265
2024-06-01,V-TRO-12,DC-WEST,35823,13866
2024-06-01,V-CIT-24,DC-EAST,89629,33382
2024-06-01,V-CIT-24,DC-CEN,69711,25964
2024-06-01,V-CIT-24,DC-WEST,39835,14836
2024-06-01,V-BER-24,DC-EAST,71105,28453
2024-06-01,V-BER-24,DC-CEN,55304,22130
2024-06-01,V-BER-24,DC-WEST,31602,12646
2024-06-01,V-GIN-12,DC-EAST,56683,22854
2024-06-01,V-GIN-12,DC-CEN,44087,17776
2024-06-01,V-GIN-12,DC-WEST,25192,10157
2024-06-01,V-MEL-24,DC-EAST,88695,33147
2024-06-01,V-MEL-24,DC-CEN,68985,25781
2024-06-01,V-MEL-24,DC-WEST,39420,14732
2024-06-01,V-COC-24,DC-EAST,60180,24833
2024-06-01,V-COC-24,DC-CEN,46806,19314
2024-06-01,V-COC-24,DC-WEST,26747,11037
2024-07-01,V-CIT-12,DC-EAST,50730,56753
2024-07-01,V-CIT-12,DC-CEN,39457,44141
2024-07-01,V-CIT-12,DC-WEST,22547,25224
2024-07-01,V-BER-12,DC-EAST,107564,42879
2024-07-01,V-BER-12,DC-CEN,83661,33350
2024-07-01,V-BER-12,DC-WEST,47806,19057
2024-07-01,V-TRO-12,DC-EAST,81851,31533
2024-07-01,V-TRO-12,DC-CEN,63662,24526
2024-07-01,V-TRO-12,DC-WEST,36378,14015
2024-07-01,V-CIT-24,DC-EAST,91690,34553
2024-07-01,V-CIT-24,DC-CEN,71314,26874
2024-07-01,V-CIT-24,DC-WEST,40751,15357
2024-07-01,V-BER-24,DC-EAST,74987,29010
2024-07-01,V-BER-24,DC-CEN,58323,22563
2024-07-01,V-BER-24,DC-WEST,33328,12893
2024-07-01,V-GIN-12,DC-EAST,59188,23109
2024-07-01,V-GIN-12,DC-CEN,46035,17974
2024-07-01,V-GIN-12,DC-WEST,26306,10271
2024-07-01,V-MEL-24,DC-EAST,88612,33552
2024-07-01,V-MEL-24,DC-CEN,68921,26096
2024-07-01,V-MEL-24,DC-WEST,39383,14912
2024-07-01,V-COC-24,DC-EAST,60478,25508
2024-07-01,V-COC-24,DC-CEN,47039,19839
2024-07-01,V-COC-24,DC-WEST,26879,11337
2024-08-01,V-CIT-12,DC-EAST,42839,55626
2024-08-01,V-CIT-12,DC-CEN,33319,43265
2024-08-01,V-CIT-12,DC-WEST,19039,24723
2024-08-01,V-BER-12,DC-EAST,112552,41891
2024-08-01,V-BER-12,DC-CEN,87540,32582
2024-08-01,V-BER-12,DC-WEST,50023,18618
2024-08-01,V-TRO-12,DC-EAST,84461,30490
2024-08-01,V-TRO-12,DC-CEN,65692,23714
2024-08-01,V-TRO-12,DC-WEST,37538,13551
2024-08-01,V-CIT-24,DC-EAST,96614,33426
2024-08-01,V-CIT-24,DC-CEN,75145,25998
2024-08-01,V-CIT-24,DC-WEST,42940,14856
2024-08-01,V-BER-24,DC-EAST,79544,28253
2024-08-01,V-BER-24,DC-CEN,61868,21974
2024-08-01,V-BER-24,DC-WEST,35353,12557
2024-08-01,V-GIN-12,DC-EAST,62766,22422
2024-08-01,V-GIN-12,DC-CEN,48818,17439
2024-08-01,V-GIN-12,DC-WEST,27896,9965
2024-08-01,V-MEL-24,DC-EAST,91796,32513
2024-08-01,V-MEL-24,DC-CEN,71397,25288
2024-08-01,V-MEL-24,DC-WEST,40798,14450
2024-08-01,V-COC-24,DC-EAST,62011,24422
2024-08-01,V-COC-24,DC-CEN,48230,18995
2024-08-01,V-COC-24,DC-WEST,27560,10854
2024-09-01,V-CIT-12,DC-EAST,38273,52859
2024-09-01,V-CIT-12,DC-CEN,29768,41113
2024-09-01,V-CIT-12,DC-WEST,17010,23493
2024-09-01,V-BER-12,DC-EAST,115055,40072
2024-09-01,V-BER-12,DC-CEN,89487,31167
2024-09-01,V-BER-12,DC-WEST,51135,17810
2024-09-01,V-TRO-12,DC-EAST,87835,28427
2024-09-01,V-TRO-12,DC-CEN,68316,22110
2024-09-01,V-TRO-12,DC-WEST,39038,12634
2024-09-01,V-CIT-24,DC-EAST,97990,31769
2024-09-01,V-CIT-24,DC-CEN,76215,24709
2024-09-01,V-CIT-24,DC-WEST,43551,14120
2024-09-01,V-BER-24,DC-EAST,83246,25675
2024-09-01,V-BER-24,DC-CEN,64747,19969
2024-09-01,V-BER-24,DC-WEST,36998,11411
2024-09-01,V-GIN-12,DC-EAST,65735,21106
2024-09-01,V-GIN-12,DC-CEN,51127,16415
2024-09-01,V-GIN-12,DC-WEST,29215,9380
2024-09-01,V-MEL-24,DC-EAST,94602,30060
2024-09-01,V-MEL-24,DC-CEN,73579,23380
2024-09-01,V-MEL-24,DC-WEST,42045,13360
2024-09-01,V-COC-24,DC-EAST,65188,23096
2024-09-01,V-COC-24,DC-CEN,50701,17964
2024-09-01,V-COC-24,DC-WEST,28972,10265
2024-10-01,V-CIT-12,DC-EAST,30837,51033
2024-10-01,V-CIT-12,DC-CEN,23984,39693
2024-10-01,V-CIT-12,DC-WEST,13705,22682
2024-10-01,V-BER-12,DC-EAST,118990,37938
2024-10-01,V-BER-12,DC-CEN,92548,29507
2024-10-01,V-BER-12,DC-WEST,52884,16861
2024-10-01,V-TRO-12,DC-EAST,91991,27790
2024-10-01,V-TRO-12,DC-CEN,71549,21615
2024-10-01,V-TRO-12,DC-WEST,40885,12351
2024-10-01,V-CIT-24,DC-EAST,99120,29938
2024-10-01,V-CIT-24,DC-CEN,77093,23285
2024-10-01,V-CIT-24,DC-WEST,44053,13306
2024-10-01,V-BER-24,DC-EAST,86210,25319
2024-10-01,V-BER-24,DC-CEN,67052,19692
2024-10-01,V-BER-24,DC-WEST,38315,11253
2024-10-01,V-GIN-12,DC-EAST,67302,20099
2024-10-01,V-GIN-12,DC-CEN,52346,15632
2024-10-01,V-GIN-12,DC-WEST,29912,8933
2024-10-01,V-MEL-24,DC-EAST,96445,28236
2024-10-01,V-MEL-24,DC-CEN,75013,21961
2024-10-01,V-MEL-24,DC-WEST,42864,12549
2024-10-01,V-COC-24,DC-EAST,66366,22023
2024-10-01,V-COC-24,DC-CEN,51618,17129
2024-10-01,V-COC-24,DC-WEST,29496,9788
2024-11-01,V-CIT-12,DC-EAST,23796,51656
2024-11-01,V-CIT-12,DC-CEN,18508,40177
2024-11-01,V-CIT-12,DC-WEST,10576,22958
2024-11-01,V-BER-12,DC-EAST,122618,38084
2024-11-01,V-BER-12,DC-CEN,95370,29621
2024-11-01,V-BER-12,DC-WEST,54497,16926
2024-11-01,V-TRO-12,DC-EAST,95424,27350
2024-11-01,V-TRO-12,DC-CEN,74218,21272
2024-11-01,V-TRO-12,DC-WEST,42410,12155
2024-11-01,V-CIT-24,DC-EAST,100381,30247
2024-11-01,V-CIT-24,DC-CEN,78074,23526
2024-11-01,V-CIT-24,DC-WEST,44614,13443
2024-11-01,V-BER-24,DC-EAST,90345,25290
2024-11-01,V-BER-24,DC-CEN,70268,19670
2024-11-01,V-BER-24,DC-WEST,40153,11240
2024-11-01,V-GIN-12,DC-EAST,67996,20044
2024-11-01,V-GIN-12,DC-CEN,52886,15590
2024-11-01,V-GIN-12,DC-WEST,30221,8908
2024-11-01,V-MEL-24,DC-EAST,99572,27890
2024-11-01,V-MEL-24,DC-CEN,77445,21692
2024-11-01,V-MEL-24,DC-WEST,44254,12396
2024-11-01,V-COC-24,DC-EAST,69212,21805
2024-11-01,V-COC-24,DC-CEN,53832,16959
2024-11-01,V-COC-24,DC-WEST,30761,9691
2024-12-01,V-CIT-12,DC-EAST,14973,55772
2024-12-01,V-CIT-12,DC-CEN,11645,43378
2024-12-01,V-CIT-12,DC-WEST,6654,24787
2024-12-01,V-BER-12,DC-EAST,124755,40578
2024-12-01,V-BER-12,DC-CEN,97032,31561
2024-12-01,V-BER-12,DC-WEST,55447,18035
2024-12-01,V-TRO-12,DC-EAST,99248,30015
2024-12-01,V-TRO-12,DC-CEN,77193,23345
2024-12-01,V-TRO-12,DC-WEST,44110,13340
2024-12-01,V-CIT-24,DC-EAST,105008,32964
2024-12-01,V-CIT-24,DC-CEN,81673,25639
2024-12-01,V-CIT-24,DC-WEST,46670,14651
2024-12-01,V-BER-24,DC-EAST,95602,27183
2024-12-01,V-BER-24,DC-CEN,74357,21142
2024-12-01,V-BER-24,DC-WEST,42490,12081
2024-12-01,V-GIN-12,DC-EAST,70856,21608
2024-12-01,V-GIN-12,DC-CEN,55110,16807
2024-12-01,V-GIN-12,DC-WEST,31492,9604
2024-12-01,V-MEL-24,DC-EAST,103560,29709
2024-12-01,V-MEL-24,DC-CEN,80547,23107
2024-12-01,V-MEL-24,DC-WEST,46027,13204
2024-12-01,V-COC-24,DC-EAST,70916,23340
2024-12-01,V-COC-24,DC-CEN,55157,18154
2024-12-01,V-COC-24,DC-WEST,31518,10373
2025-01-01,V-CIT-12,DC-EAST,4769,51590
2025-01-01,V-CIT-12,DC-CEN,3709,40126
2025-01-01,V-CIT-12,DC-WEST,2120,22929
2025-01-01,V-BER-12,DC-EAST,127403,38017
2025-01-01,V-BER-12,DC-CEN,99092,29569
2025-01-01,V-BER-12,DC-WEST,56624,16897
2025-01-01,V-TRO-12,DC-EAST,103368,26893
2025-01-01,V-TRO-12,DC-CEN,80397,20917
2025-01-01,V-TRO-12,DC-WEST,45941,11952
2025-01-01,V-CIT-24,DC-EAST,108433,29484
2025-01-01,V-CIT-24,DC-CEN,84337,22932
2025-01-01,V-CIT-24,DC-WEST,48192,13104
2025-01-01,V-BER-24,DC-EAST,99014,25137
2025-01-01,V-BER-24,DC-CEN,77011,19551
2025-01-01,V-BER-24,DC-WEST,44006,11172
2025-01-01,V-GIN-12,DC-EAST,73026,19810
2025-01-01,V-GIN-12,DC-CEN,56798,15408
2025-01-01,V-GIN-12,DC-WEST,32456,8804
2025-01-01,V-MEL-24,DC-EAST,107939,27057
2025-01-01,V-MEL-24,DC-CEN,83953,21044
2025-01-01,V-MEL-24,DC-WEST,47973,12025
2025-01-01,V-COC-24,DC-EAST,72420,21481
2025-01-01,V-COC-24,DC-CEN,56327,16707
2025-01-01,V-COC-24,DC-WEST,32187,9547
2025-02-01,V-CIT-12,DC-EAST,1338,51996
2025-02-01,V-CIT-12,DC-CEN,1040,40441
2025-02-01,V-CIT-12,DC-WEST,595,23109
2025-02-01,V-BER-12,DC-EAST,128659,37598
2025-02-01,V-BER-12,DC-CEN,100068,29243
2025-02-01,V-BER-12,DC-WEST,57182,16710
2025-02-01,V-TRO-12,DC-EAST,107828,27413
2025-02-01,V-TRO-12,DC-CEN,83866,21322
2025-02-01,V-TRO-12,DC-WEST,47923,12184
2025-02-01,V-CIT-24,DC-EAST,112752,30379
2025-02-01,V-CIT-24,DC-CEN,87696,23628
2025-02-01,V-CIT-24,DC-WEST,50112,13502
2025-02-01,V-BER-24,DC-EAST,100547,24478
2025-02-01,V-BER-24,DC-CEN,78204,19038
2025-02-01,V-BER-24,DC-WEST,44688,10879
2025-02-01,V-GIN-12,DC-EAST,74784,19838
2025-02-01,V-GIN-12,DC-CEN,58165,15429
2025-02-01,V-GIN-12,DC-WEST,33237,8817
2025-02-01,V-MEL-24,DC-EAST,108418,26453
2025-02-01,V-MEL-24,DC-CEN,84325,20575
2025-02-01,V-MEL-24,DC-WEST,48186,11757
2025-02-01,V-COC-24,DC-EAST,73593,21504
2025-02-01,V-COC-24,DC-CEN,57239,16726
2025-02-01,V-COC-24,DC-WEST,32708,9558
2025-03-01,V-CIT-12,DC-EAST,0,54462
2025-03-01,V-CIT-12,DC-CEN,0,42360
2025-03-01,V-CIT-12,DC-WEST,0,24206
2025-03-01,V-BER-12,DC-EAST,128824,39902
2025-03-01,V-BER-12,DC-CEN,100196,31035
2025-03-01,V-BER-12,DC-WEST,57255,17734
2025-03-01,V-TRO-12,DC-EAST,109301,28916
2025-03-01,V-TRO-12,DC-CEN,85012,22490
2025-03-01,V-TRO-12,DC-WEST,48578,12852
2025-03-01,V-CIT-24,DC-EAST,117297,31978
2025-03-01,V-CIT-24,DC-CEN,91231,24871
2025-03-01,V-CIT-24,DC-WEST,52132,14212
2025-03-01,V-BER-24,DC-EAST,101261,26423
2025-03-01,V-BER-24,DC-CEN,78758,20551
2025-03-01,V-BER-24,DC-WEST,45005,11743
2025-03-01,V-GIN-12,DC-EAST,77300,21122
2025-03-01,V-GIN-12,DC-CEN,60122,16428
2025-03-01,V-GIN-12,DC-WEST,34356,9387
2025-03-01,V-MEL-24,DC-EAST,111770,27663
2025-03-01,V-MEL-24,DC-CEN,86932,21515
2025-03-01,V-MEL-24,DC-WEST,49676,12295
2025-03-01,V-COC-24,DC-EAST,74911,22399
2025-03-01,V-COC-24,DC-CEN,58264,17422
2025-03-01,V-COC-24,DC-WEST,33294,9955
2025-04-01,V-CIT-12,DC-EAST,0,56491
2025-04-01,V-CIT-12,DC-CEN,0,43938
2025-04-01,V-CIT-12,DC-WEST,0,25107
2025-04-01,V-BER-12,DC-EAST,132188,42029
2025-04-01,V-BER-12,DC-CEN,102813,32689
2025-04-01,V-BER-12,DC-WEST,58750,18680
2025-04-01,V-TRO-12,DC-EAST,110296,29161
2025-04-01,V-TRO-12,DC-CEN,85786,22680
2025-04-01,V-TRO-12,DC-WEST,49021,12960
2025-04-01,V-CIT-24,DC-EAST,122746,33218
2025-04-01,V-CIT-24,DC-CEN,95469,25836
2025-04-01,V-CIT-24,DC-WEST,54554,14764
2025-04-01,V-BER-24,DC-EAST,102356,27036
2025-04-01,V-BER-24,DC-CEN,79610,21028
2025-04-01,V-BER-24,DC-WEST,45492,12016
2025-04-01,V-GIN-12,DC-EAST,78016,21883
2025-04-01,V-GIN-12,DC-CEN,60679,17020
2025-04-01,V-GIN-12,DC-WEST,34674,9726
2025-04-01,V-MEL-24,DC-EAST,113640,27934
2025-04-01,V-MEL-24,DC-CEN,88387,21726
2025-04-01,V-MEL-24,DC-WEST,50507,12415
2025-04-01,V-COC-24,DC-EAST,79087,23269
2025-04-01,V-COC-24,DC-CEN,61512,18098
2025-04-01,V-COC-24,DC-WEST,35150,10342
2025-05-01,V-CIT-12,DC-EAST,0,60193
2025-05-01,V-CIT-12,DC-CEN,0,46816
2025-05-01,V-CIT-12,DC-WEST,0,26752
2025-05-01,V-BER-12,DC-EAST,137819,43917
2025-05-01,V-BER-12,DC-CEN,107193,34158
2025-05-01,V-BER-12,DC-WEST,61253,19519
2025-05-01,V-TRO-12,DC-EAST,112127,31310
2025-05-01,V-TRO-12,DC-CEN,87210,24352
2025-05-01,V-TRO-12,DC-WEST,49834,13916
2025-05-01,V-CIT-24,DC-EAST,123001,34304
2025-05-01,V-CIT-24,DC-CEN,95667,26681
2025-05-01,V-CIT-24,DC-WEST,54667,15246
2025-05-01,V-BER-24,DC-EAST,102875,28277
2025-05-01,V-BER-24,DC-CEN,80014,21993
2025-05-01,V-BER-24,DC-WEST,45722,12568
2025-05-01,V-GIN-12,DC-EAST,78640,22363
2025-05-01,V-GIN-12,DC-CEN,61164,17393
2025-05-01,V-GIN-12,DC-WEST,34951,9939
2025-05-01,V-MEL-24,DC-EAST,117374,28546
2025-05-01,V-MEL-24,DC-CEN,91291,22202
2025-05-01,V-MEL-24,DC-WEST,52166,12687
2025-05-01,V-COC-24,DC-EAST,82675,24053
2025-05-01,V-COC-24,DC-CEN,64303,18708
2025-05-01,V-COC-24,DC-WEST,36745,10690
2025-06-01,V-CIT-12,DC-EAST,0,62474
2025-06-01,V-CIT-12,DC-CEN,0,48591
2025-06-01,V-CIT-12,DC-WEST,0,27766
2025-06-01,V-BER-12,DC-EAST,142939,45802
2025-06-01,V-BER-12,DC-CEN,111175,35624
2025-06-01,V-BER-12,DC-WEST,63528,20356
2025-06-01,V-TRO-12,DC-EAST,115061,32125
2025-06-01,V-TRO-12,DC-CEN,89492,24986
2025-06-01,V-TRO-12,DC-WEST,51138,14278
2025-06-01,V-CIT-24,DC-EAST,125231,35964
2025-06-01,V-CIT-24,DC-CEN,97402,27972
2025-06-01,V-CIT-24,DC-WEST,55658,15984
2025-06-01,V-BER-24,DC-EAST,103179,29324
2025-06-01,V-BER-24,DC-CEN,80250,22807
2025-06-01,V-BER-24,DC-WEST,45857,13033
2025-06-01,V-GIN-12,DC-EAST,80332,23239
2025-06-01,V-GIN-12,DC-CEN,62481,18075
2025-06-01,V-GIN-12,DC-WEST,35703,10329
2025-06-01,V-MEL-24,DC-EAST,120995,29494
2025-06-01,V-MEL-24,DC-CEN,94107,22939
2025-06-01,V-MEL-24,DC-WEST,53775,13108
2025-06-01,V-COC-24,DC-EAST,83940,24762
2025-06-01,V-COC-24,DC-CEN,65287,19259
2025-06-01,V-COC-24,DC-WEST,37307,11005
2025-07-01,V-CIT-12,DC-EAST,0,65381
2025-07-01,V-CIT-12,DC-CEN,0,50852
2025-07-01,V-CIT-12,DC-WEST,0,29058
2025-07-01,V-BER-12,DC-EAST,142724,47519
2025-07-01,V-BER-12,DC-CEN,111007,36959
2025-07-01,V-BER-12,DC-WEST,63433,21119
2025-07-01,V-TRO-12,DC-EAST,118458,33222
2025-07-01,V-TRO-12,DC-CEN,92134,25839
2025-07-01,V-TRO-12,DC-WEST,52648,14765
2025-07-01,V-CIT-24,DC-EAST,129735,37098
2025-07-01,V-CIT-24,DC-CEN,100905,28854
2025-07-01,V-CIT-24,DC-WEST,57660,16488
2025-07-01,V-BER-24,DC-EAST,105080,30243
2025-07-01,V-BER-24,DC-CEN,81729,23522
2025-07-01,V-BER-24,DC-WEST,46702,13441
2025-07-01,V-GIN-12,DC-EAST,82112,23815
2025-07-01,V-GIN-12,DC-CEN,63865,18523
2025-07-01,V-GIN-12,DC-WEST,36494,10584
2025-07-01,V-MEL-24,DC-EAST,125917,29622
2025-07-01,V-MEL-24,DC-CEN,97935,23040
2025-07-01,V-MEL-24,DC-WEST,55963,13166
2025-07-01,V-COC-24,DC-EAST,84665,25630
2025-07-01,V-COC-24,DC-CEN,65851,19934
2025-07-01,V-COC-24,DC-WEST,37629,11391
2025-08-01,V-CIT-12,DC-EAST,0,63198
2025-08-01,V-CIT-12,DC-CEN,0,49154
2025-08-01,V-CIT-12,DC-WEST,0,28088
2025-08-01,V-BER-12,DC-EAST,148644,45294
2025-08-01,V-BER-12,DC-CEN,115612,35229
2025-08-01,V-BER-12,DC-WEST,66064,20131
2025-08-01,V-TRO-12,DC-EAST,123052,32523
2025-08-01,V-TRO-12,DC-CEN,95707,25295
2025-08-01,V-TRO-12,DC-WEST,54690,14455
2025-08-01,V-CIT-24,DC-EAST,130609,35314
2025-08-01,V-CIT-24,DC-CEN,101585,27467
2025-08-01,V-CIT-24,DC-WEST,58049,15695
2025-08-01,V-BER-24,DC-EAST,108446,29146
2025-08-01,V-BER-24,DC-CEN,84347,22669
2025-08-01,V-BER-24,DC-WEST,48198,12954
2025-08-01,V-GIN-12,DC-EAST,82958,23059
2025-08-01,V-GIN-12,DC-CEN,64523,17935
2025-08-01,V-GIN-12,DC-WEST,36870,10248
2025-08-01,V-MEL-24,DC-EAST,132557,28560
2025-08-01,V-MEL-24,DC-CEN,103100,22213
2025-08-01,V-MEL-24,DC-WEST,58914,12693
2025-08-01,V-COC-24,DC-EAST,86436,24530
2025-08-01,V-COC-24,DC-CEN,67228,19079
2025-08-01,V-COC-24,DC-WEST,38416,10902
2025-09-01,V-CIT-12,DC-EAST,0,60714
2025-09-01,V-CIT-12,DC-CEN,0,47222
2025-09-01,V-CIT-12,DC-WEST,0,26984
2025-09-01,V-BER-12,DC-EAST,153142,43169
2025-09-01,V-BER-12,DC-CEN,119111,33576
2025-09-01,V-BER-12,DC-WEST,68063,19186
2025-09-01,V-TRO-12,DC-EAST,125553,29629
2025-09-01,V-TRO-12,DC-CEN,97652,23045
2025-09-01,V-TRO-12,DC-WEST,55801,13168
2025-09-01,V-CIT-24,DC-EAST,133922,33905
2025-09-01,V-CIT-24,DC-CEN,104162,26371
2025-09-01,V-CIT-24,DC-WEST,59521,15069
2025-09-01,V-BER-24,DC-EAST,112588,27829
2025-09-01,V-BER-24,DC-CEN,87569,21645
2025-09-01,V-BER-24,DC-WEST,50039,12368
2025-09-01,V-GIN-12,DC-EAST,84543,21924
2025-09-01,V-GIN-12,DC-CEN,65756,17052
2025-09-01,V-GIN-12,DC-WEST,37575,9744
2025-09-01,V-MEL-24,DC-EAST,136937,26151
2025-09-01,V-MEL-24,DC-CEN,106507,20340
2025-09-01,V-MEL-24,DC-WEST,60861,11623
2025-09-01,V-COC-24,DC-EAST,89964,23153
2025-09-01,V-COC-24,DC-CEN,69972,18008
2025-09-01,V-COC-24,DC-WEST,39984,10290
2025-10-01,V-CIT-12,DC-EAST,0,58862
