Date,SKU,ChannelID,StatForecastUnits,SalesForecastUnits,ConsensusForecastUnits,ActualUnits
2024-06-01,V-BER-12,CH-RET,97300,106116,102590,99474
2024-06-01,V-BER-12,CH-CLB,53073,57881,55958,54259
2024-06-01,V-BER-12,CH-ECM,26536,28941,27979,27129
2024-06-01,V-TRO-12,CH-RET,71696,79307,76262,69579
2024-06-01,V-TRO-12,CH-CLB,39107,43258,41598,37952
2024-06-01,V-TRO-12,CH-ECM,19553,21629,20799,18976
2024-06-01,V-CIT-24,CH-RET,77862,84092,81600,76866
2024-06-01,V-CIT-24,CH-CLB,42470,45868,44509,41927
2024-06-01,V-CIT-24,CH-ECM,21235,22934,22255,20964
2024-06-01,V-BER-24,CH-RET,64881,72666,69552,64297
2024-06-01,V-BER-24,CH-CLB,35389,39636,37937,35071
2024-06-01,V-BER-24,CH-ECM,17695,19818,18969,17535
2024-06-01,V-GIN-12,CH-RET,52263,58268,55866,52495
2024-06-01,V-GIN-12,CH-CLB,28507,31783,30472,28634
2024-06-01,V-GIN-12,CH-ECM,14253,15891,15236,14317
2024-06-01,V-MEL-24,CH-RET,77035,83686,81025,77270
2024-06-01,V-MEL-24,CH-CLB,42019,45647,44196,42147
2024-06-01,V-MEL-24,CH-ECM,21009,22823,22098,21074
2024-06-01,V-COC-24,CH-RET,57173,63055,60702,57430
2024-06-01,V-COC-24,CH-CLB,31185,34393,33110,31325
2024-06-01,V-COC-24,CH-ECM,15593,17197,16555,15663
2024-07-01,V-CIT-12,CH-RET,132356,142979,138729,134784
2024-07-01,V-CIT-12,CH-CLB,72194,77988,75671,73519
2024-07-01,V-CIT-12,CH-ECM,36097,38994,37835,36759
2024-07-01,V-BER-12,CH-RET,99531,108336,104814,99765
2024-07-01,V-BER-12,CH-CLB,54290,59093,57171,54418
2024-07-01,V-BER-12,CH-ECM,27145,29546,28586,27209
2024-07-01,V-TRO-12,CH-RET,73050,79769,77081,73766
2024-07-01,V-TRO-12,CH-CLB,39845,43510,42044,40236
2024-07-01,V-TRO-12,CH-ECM,19923,21755,21022,20118
2024-07-01,V-CIT-24,CH-RET,79538,87746,84463,80276
2024-07-01,V-CIT-24,CH-CLB,43384,47861,46071,43787
2024-07-01,V-CIT-24,CH-ECM,21692,23931,23035,21893
2024-07-01,V-BER-24,CH-RET,66476,73872,70914,67082
2024-07-01,V-BER-24,CH-CLB,36260,40294,38680,36590
2024-07-01,V-BER-24,CH-ECM,18130,20147,19340,18295
2024-07-01,V-GIN-12,CH-RET,53364,58574,56490,52354
2024-07-01,V-GIN-12,CH-CLB,29108,31949,30813,28557
2024-07-01,V-GIN-12,CH-ECM,14554,15975,15406,14278
2024-07-01,V-MEL-24,CH-RET,78093,84631,82016,80399
2024-07-01,V-MEL-24,CH-CLB,42596,46162,44736,43854
2024-07-01,V-MEL-24,CH-ECM,21298,23081,22368,21927
2024-07-01,V-COC-24,CH-RET,59097,64522,62352,60791
2024-07-01,V-COC-24,CH-CLB,32235,35194,34010,33159
2024-07-01,V-COC-24,CH-ECM,16117,17597,17005,16579
2024-08-01,V-CIT-12,CH-RET,128744,140796,135976,126083
2024-08-01,V-CIT-12,CH-CLB,70224,76798,74168,68773
2024-08-01,V-CIT-12,CH-ECM,35112,38399,37084,34386
2024-08-01,V-BER-12,CH-RET,97262,105825,102400,96163
2024-08-01,V-BER-12,CH-CLB,53052,57723,55855,52453
2024-08-01,V-BER-12,CH-ECM,26526,28861,27927,26226
2024-08-01,V-TRO-12,CH-RET,70899,76952,74531,69263
2024-08-01,V-TRO-12,CH-CLB,38672,41974,40653,37780
2024-08-01,V-TRO-12,CH-ECM,19336,20987,20327,18890
2024-08-01,V-CIT-24,CH-RET,77185,84725,81709,75859
2024-08-01,V-CIT-24,CH-CLB,42101,46214,44569,41378
2024-08-01,V-CIT-24,CH-ECM,21050,23107,22284,20689
2024-08-01,V-BER-24,CH-RET,64497,72107,69063,63333
2024-08-01,V-BER-24,CH-CLB,35180,39331,37671,34546
2024-08-01,V-BER-24,CH-ECM,17590,19665,18835,17273
2024-08-01,V-GIN-12,CH-RET,51195,57218,54809,51127
2024-08-01,V-GIN-12,CH-CLB,27925,31210,29896,27887
2024-08-01,V-GIN-12,CH-ECM,13962,15605,14948,13944
2024-08-01,V-MEL-24,CH-RET,75042,82431,79476,73320
2024-08-01,V-MEL-24,CH-CLB,40932,44962,43350,39993
2024-08-01,V-MEL-24,CH-ECM,20466,22481,21675,19996
2024-08-01,V-COC-24,CH-RET,56609,61759,59699,56833
2024-08-01,V-COC-24,CH-CLB,30877,33687,32563,31000
2024-08-01,V-COC-24,CH-ECM,15439,16843,16281,15500
2024-09-01,V-CIT-12,CH-RET,122350,133785,129211,119360
2024-09-01,V-CIT-12,CH-CLB,66736,72974,70479,65106
2024-09-01,V-CIT-12,CH-ECM,33368,36487,35239,32553
2024-09-01,V-BER-12,CH-RET,92097,101859,97954,91755
2024-09-01,V-BER-12,CH-CLB,50235,55559,53430,50048
2024-09-01,V-BER-12,CH-ECM,25117,27780,26715,25024
2024-09-01,V-TRO-12,CH-RET,65476,72163,69488,64582
2024-09-01,V-TRO-12,CH-CLB,35714,39362,37903,35226
2024-09-01,V-TRO-12,CH-ECM,17857,19681,18951,17613
2024-09-01,V-CIT-24,CH-RET,72602,81028,77657,73892
2024-09-01,V-CIT-24,CH-CLB,39601,44197,42359,40305
2024-09-01,V-CIT-24,CH-ECM,19801,22098,21179,20152
2024-09-01,V-BER-24,CH-RET,59678,64816,62761,58340
2024-09-01,V-BER-24,CH-CLB,32552,35354,34233,31822
2024-09-01,V-BER-24,CH-ECM,16276,17677,17117,15911
2024-09-01,V-GIN-12,CH-RET,48781,53465,51591,47534
2024-09-01,V-GIN-12,CH-CLB,26608,29163,28141,25928
2024-09-01,V-GIN-12,CH-ECM,13304,14581,14070,12964
2024-09-01,V-MEL-24,CH-RET,69324,76252,73480,70225
2024-09-01,V-MEL-24,CH-CLB,37813,41592,40080,38304
2024-09-01,V-MEL-24,CH-ECM,18906,20796,20040,19152
2024-09-01,V-COC-24,CH-RET,52969,58784,56458,51535
2024-09-01,V-COC-24,CH-CLB,28892,32064,30795,28110
2024-09-01,V-COC-24,CH-ECM,14446,16032,15398,14055
2024-10-01,V-CIT-12,CH-RET,116769,130068,124749,117495
2024-10-01,V-CIT-12,CH-CLB,63692,70946,68045,64088
2024-10-01,V-CIT-12,CH-ECM,31846,35473,34022,32044
2024-10-01,V-BER-12,CH-RET,88245,95731,92737,86787
2024-10-01,V-BER-12,CH-CLB,48133,52217,50584,47338
2024-10-01,V-BER-12,CH-ECM,24067,26109,25292,23669
2024-10-01,V-TRO-12,CH-RET,63773,70705,67932,62638
2024-10-01,V-TRO-12,CH-CLB,34785,38566,37054,34166
2024-10-01,V-TRO-12,CH-ECM,17393,19283,18527,17083
2024-10-01,V-CIT-24,CH-RET,69695,75507,73183,69760
2024-10-01,V-CIT-24,CH-CLB,38016,41186,39918,38051
2024-10-01,V-CIT-24,CH-ECM,19008,20593,19959,19025
2024-10-01,V-BER-24,CH-RET,58302,64282,61890,57316
2024-10-01,V-BER-24,CH-CLB,31801,35063,33758,31263
2024-10-01,V-BER-24,CH-ECM,15901,17531,16879,15632
2024-10-01,V-GIN-12,CH-RET,46822,50668,49130,45837
2024-10-01,V-GIN-12,CH-CLB,25539,27637,26798,25002
2024-10-01,V-GIN-12,CH-ECM,12770,13819,13399,12501
2024-10-01,V-MEL-24,CH-RET,65450,71401,69021,66764
2024-10-01,V-MEL-24,CH-CLB,35700,38946,37648,36417
2024-10-01,V-MEL-24,CH-ECM,17850,19473,18824,18208
2024-10-01,V-COC-24,CH-RET,50790,55863,53834,52022
2024-10-01,V-COC-24,CH-CLB,27704,30471,29364,28376
2024-10-01,V-COC-24,CH-ECM,13852,15235,14682,14188
2024-11-01,V-CIT-12,CH-RET,118507,131447,126271,118765
2024-11-01,V-CIT-12,CH-CLB,64640,71698,68875,64781
2024-11-01,V-CIT-12,CH-ECM,32320,35849,34438,32390
2024-11-01,V-BER-12,CH-RET,87649,96723,93093,86229
2024-11-01,V-BER-12,CH-CLB,47808,52758,50778,47034
2024-11-01,V-BER-12,CH-ECM,23904,26379,25389,23517
2024-11-01,V-TRO-12,CH-RET,63409,69152,66855,63366
2024-11-01,V-TRO-12,CH-CLB,34587,37719,36466,34563
2024-11-01,V-TRO-12,CH-ECM,17293,18860,18233,17282
2024-11-01,V-CIT-24,CH-RET,70014,76554,73938,71351
2024-11-01,V-CIT-24,CH-CLB,38189,41757,40330,38919
2024-11-01,V-CIT-24,CH-ECM,19095,20878,20165,19459
2024-11-01,V-BER-24,CH-RET,57971,64387,61820,56815
2024-11-01,V-BER-24,CH-CLB,31620,35120,33720,30990
2024-11-01,V-BER-24,CH-ECM,15810,17560,16860,15495
2024-11-01,V-GIN-12,CH-RET,46429,50708,48997,47805
2024-11-01,V-GIN-12,CH-CLB,25325,27659,26725,26076
2024-11-01,V-GIN-12,CH-ECM,12663,13829,13363,13038
2024-11-01,V-MEL-24,CH-RET,64693,70499,68176,64892
2024-11-01,V-MEL-24,CH-CLB,35287,38454,37187,35395
2024-11-01,V-MEL-24,CH-ECM,17643,19227,18594,17698
2024-11-01,V-COC-24,CH-RET,49946,55537,53300,50266
2024-11-01,V-COC-24,CH-CLB,27243,30293,29073,27418
2024-11-01,V-COC-24,CH-ECM,13622,15146,14536,13709
2024-12-01,V-CIT-12,CH-RET,128968,141238,136330,129371
2024-12-01,V-CIT-12,CH-CLB,70346,77039,74362,70566
2024-12-01,V-CIT-12,CH-ECM,35173,38520,37181,35283
2024-12-01,V-BER-12,CH-RET,94494,102321,99190,95237
2024-12-01,V-BER-12,CH-CLB,51542,55812,54104,51947
2024-12-01,V-BER-12,CH-ECM,25771,27906,27052,25974
2024-12-01,V-TRO-12,CH-RET,68680,76498,73371,67000
2024-12-01,V-TRO-12,CH-CLB,37462,41726,40020,36545
2024-12-01,V-TRO-12,CH-ECM,18731,20863,20010,18273
2024-12-01,V-CIT-24,CH-RET,75722,83817,80579,74471
2024-12-01,V-CIT-24,CH-CLB,41303,45719,43952,40620
2024-12-01,V-CIT-24,CH-ECM,20651,22859,21976,20310
2024-12-01,V-BER-24,CH-RET,62337,69188,66448,60895
2024-12-01,V-BER-24,CH-CLB,34002,37739,36244,33215
2024-12-01,V-BER-24,CH-ECM,17001,18870,18122,16608
2024-12-01,V-GIN-12,CH-RET,49534,55012,52821,49850
2024-12-01,V-GIN-12,CH-CLB,27019,30006,28811,27191
2024-12-01,V-GIN-12,CH-ECM,13509,15003,14406,13596
2024-12-01,V-MEL-24,CH-RET,67863,75794,72621,67896
2024-12-01,V-MEL-24,CH-CLB,37016,41342,39612,37034
2024-12-01,V-MEL-24,CH-ECM,18508,20671,19806,18517
2024-12-01,V-COC-24,CH-RET,53659,59318,57054,54048
2024-12-01,V-COC-24,CH-CLB,29268,32355,31120,29481
2024-12-01,V-COC-24,CH-ECM,14634,16178,15560,14740
2025-01-01,V-CIT-12,CH-RET,118653,131080,126109,121228
2025-01-01,V-CIT-12,CH-CLB,64720,71498,68787,66124
2025-01-01,V-CIT-12,CH-ECM,32360,35749,34393,33062
2025-01-01,V-BER-12,CH-RET,86874,96970,92931,88748
2025-01-01,V-BER-12,CH-CLB,47386,52893,50690,48408
2025-01-01,V-BER-12,CH-ECM,23693,26446,25345,24204
2025-01-01,V-TRO-12,CH-RET,62332,68009,65738,60476
2025-01-01,V-TRO-12,CH-CLB,33999,37096,35857,32987
2025-01-01,V-TRO-12,CH-ECM,17000,18548,17929,16493
2025-01-01,V-CIT-24,CH-RET,68733,74298,72072,67680
2025-01-01,V-CIT-24,CH-CLB,37491,40526,39312,36917
2025-01-01,V-CIT-24,CH-ECM,18745,20263,19656,18458
2025-01-01,V-BER-24,CH-RET,57363,64166,61445,56014
2025-01-01,V-BER-24,CH-CLB,31289,35000,33515,30553
2025-01-01,V-BER-24,CH-ECM,15645,17500,16758,15277
2025-01-01,V-GIN-12,CH-RET,45969,50061,48424,46031
2025-01-01,V-GIN-12,CH-CLB,25074,27306,26413,25108
2025-01-01,V-GIN-12,CH-ECM,12537,13653,13207,12554
2025-01-01,V-MEL-24,CH-RET,61886,68975,66139,61055
2025-01-01,V-MEL-24,CH-CLB,33756,37623,36076,33303
2025-01-01,V-MEL-24,CH-ECM,16878,18811,18038,16651
2025-01-01,V-COC-24,CH-RET,49290,54654,52508,49760
2025-01-01,V-COC-24,CH-CLB,26885,29811,28641,27142
2025-01-01,V-COC-24,CH-ECM,13443,14906,14320,13571
2025-02-01,V-CIT-12,CH-RET,119355,132267,127102,116102
2025-02-01,V-CIT-12,CH-CLB,65102,72145,69328,63328
2025-02-01,V-CIT-12,CH-ECM,32551,36073,34664,31664
2025-02-01,V-BER-12,CH-RET,87222,95030,91906,88106
2025-02-01,V-BER-12,CH-CLB,47575,51834,50131,48058
2025-02-01,V-BER-12,CH-ECM,23788,25917,25065,24029
2025-02-01,V-TRO-12,CH-RET,63022,69670,67011,62122
2025-02-01,V-TRO-12,CH-CLB,34376,38002,36551,33885
2025-02-01,V-TRO-12,CH-ECM,17188,19001,18276,16942
2025-02-01,V-CIT-24,CH-RET,69505,77428,74259,67724
2025-02-01,V-CIT-24,CH-CLB,37912,42233,40505,36940
2025-02-01,V-CIT-24,CH-ECM,18956,21117,20252,18470
2025-02-01,V-BER-24,CH-RET,56689,61931,59834,57292
2025-02-01,V-BER-24,CH-CLB,30921,33781,32637,31250
2025-02-01,V-BER-24,CH-ECM,15461,16890,16318,15625
2025-02-01,V-GIN-12,CH-RET,45807,50283,48492,46797
2025-02-01,V-GIN-12,CH-CLB,24986,27427,26450,25526
2025-02-01,V-GIN-12,CH-ECM,12493,13713,13225,12763
2025-02-01,V-MEL-24,CH-RET,61121,67025,64664,62714
2025-02-01,V-MEL-24,CH-CLB,33339,36559,35271,34208
2025-02-01,V-MEL-24,CH-ECM,16669,18280,17636,17104
2025-02-01,V-COC-24,CH-RET,49447,54646,52566,50644
2025-02-01,V-COC-24,CH-CLB,26971,29807,28673,27624
2025-02-01,V-COC-24,CH-ECM,13486,14903,14336,13812
2025-03-01,V-CIT-12,CH-RET,126196,137753,133130,116913
2025-03-01,V-CIT-12,CH-CLB,68834,75138,72617,63771
2025-03-01,V-CIT-12,CH-ECM,34417,37569,36308,31885
2025-03-01,V-BER-12,CH-RET,92791,100705,97539,95215
2025-03-01,V-BER-12,CH-CLB,50613,54930,53203,51936
2025-03-01,V-BER-12,CH-ECM,25307,27465,26602,25968
2025-03-01,V-TRO-12,CH-RET,66605,73403,70684,66316
2025-03-01,V-TRO-12,CH-CLB,36330,40038,38555,36172
2025-03-01,V-TRO-12,CH-ECM,18165,20019,19277,18086
2025-03-01,V-CIT-24,CH-RET,73527,81261,78167,72179
2025-03-01,V-CIT-24,CH-CLB,40105,44324,42637,39370
2025-03-01,V-CIT-24,CH-ECM,20053,22162,21318,19685
2025-03-01,V-BER-24,CH-RET,61076,66931,64589,61864
2025-03-01,V-BER-24,CH-CLB,33314,36508,35230,33744
2025-03-01,V-BER-24,CH-ECM,16657,18254,17615,16872
2025-03-01,V-GIN-12,CH-RET,48924,53436,51631,49280
2025-03-01,V-GIN-12,CH-CLB,26686,29147,28162,26880
2025-03-01,V-GIN-12,CH-ECM,13343,14573,14081,13440
2025-03-01,V-MEL-24,CH-RET,63333,70478,67620,62508
2025-03-01,V-MEL-24,CH-CLB,34545,38443,36884,34095
2025-03-01,V-MEL-24,CH-ECM,17273,19221,18442,17048
2025-03-01,V-COC-24,CH-RET,51879,56670,54754,51695
2025-03-01,V-COC-24,CH-CLB,28298,30911,29866,28197
2025-03-01,V-COC-24,CH-ECM,14149,15456,14933,14099
2025-04-01,V-CIT-12,CH-RET,131461,142509,138090,122398
2025-04-01,V-CIT-12,CH-CLB,71706,77732,75322,66763
2025-04-01,V-CIT-12,CH-ECM,35853,38866,37661,33381
2025-04-01,V-BER-12,CH-RET,96983,106575,102738,98639
2025-04-01,V-BER-12,CH-CLB,52900,58132,56039,53803
2025-04-01,V-BER-12,CH-ECM,26450,29066,28019,26902
2025-04-01,V-TRO-12,CH-RET,67900,73536,71281,69460
2025-04-01,V-TRO-12,CH-CLB,37036,40111,38881,37887
2025-04-01,V-TRO-12,CH-ECM,18518,20055,19440,18944
2025-04-01,V-CIT-24,CH-RET,76613,84258,81200,75437
2025-04-01,V-CIT-24,CH-CLB,41789,45959,44291,41147
2025-04-01,V-CIT-24,CH-ECM,20895,22979,22145,20574
2025-04-01,V-BER-24,CH-RET,62078,68760,66087,62552
2025-04-01,V-BER-24,CH-CLB,33861,37505,36047,34119
2025-04-01,V-BER-24,CH-ECM,16930,18753,18024,17060
2025-04-01,V-GIN-12,CH-RET,50191,55692,53492,51539
2025-04-01,V-GIN-12,CH-CLB,27377,30377,29177,28112
2025-04-01,V-GIN-12,CH-ECM,13688,15189,14589,14056
2025-04-01,V-MEL-24,CH-RET,64290,70943,68282,66215
2025-04-01,V-MEL-24,CH-CLB,35068,38696,37245,36117
2025-04-01,V-MEL-24,CH-ECM,17534,19348,18622,18059
2025-04-01,V-COC-24,CH-RET,53380,59214,56880,52067
2025-04-01,V-COC-24,CH-CLB,29116,32299,31026,28400
2025-04-01,V-COC-24,CH-ECM,14558,16149,15513,14200
2025-05-01,V-CIT-12,CH-RET,139235,152406,147137,126315
2025-05-01,V-CIT-12,CH-CLB,75946,83130,80257,68899
2025-05-01,V-CIT-12,CH-ECM,37973,41565,40128,34450
2025-05-01,V-BER-12,CH-RET,101992,110928,107353,99525
2025-05-01,V-BER-12,CH-CLB,55632,60506,58556,54286
2025-05-01,V-BER-12,CH-ECM,27816,30253,29278,27143
2025-05-01,V-TRO-12,CH-RET,72130,79474,76536,73578
2025-05-01,V-TRO-12,CH-CLB,39343,43349,41747,40133
2025-05-01,V-TRO-12,CH-ECM,19672,21675,20874,20067
2025-05-01,V-CIT-24,CH-RET,80004,86422,83855,81208
2025-05-01,V-CIT-24,CH-CLB,43638,47139,45739,44296
2025-05-01,V-CIT-24,CH-ECM,21819,23570,22869,22148
2025-05-01,V-BER-24,CH-RET,64809,71997,69122,66172
2025-05-01,V-BER-24,CH-CLB,35351,39271,37703,36094
2025-05-01,V-BER-24,CH-ECM,17675,19635,18851,18047
2025-05-01,V-GIN-12,CH-RET,51910,56501,54665,52410
2025-05-01,V-GIN-12,CH-CLB,28315,30819,29817,28587
2025-05-01,V-GIN-12,CH-ECM,14157,15409,14909,14294
2025-05-01,V-MEL-24,CH-RET,66357,72060,69779,66511
2025-05-01,V-MEL-24,CH-CLB,36195,39306,38061,36279
2025-05-01,V-MEL-24,CH-ECM,18097,19653,19031,18139
2025-05-01,V-COC-24,CH-RET,55158,61220,58795,54085
2025-05-01,V-COC-24,CH-CLB,30086,33393,32070,29501
2025-05-01,V-COC-24,CH-ECM,15043,16696,16035,14750
2025-06-01,V-CIT-12,CH-RET,144834,157967,152714,134266
2025-06-01,V-CIT-12,CH-CLB,79000,86164,83298,73236
2025-06-01,V-CIT-12,CH-ECM,39500,43082,41649,36618
2025-06-01,V-BER-12,CH-RET,105806,116063,111960,105596
2025-06-01,V-BER-12,CH-CLB,57712,63307,61069,57598
2025-06-01,V-BER-12,CH-ECM,28856,31653,30535,28799
2025-06-01,V-TRO-12,CH-RET,74677,81094,78527,73008
2025-06-01,V-TRO-12,CH-CLB,40733,44233,42833,39822
2025-06-01,V-TRO-12,CH-ECM,20366,22116,21416,19911
